bucket,group_id,item_id,label,token_length
400–600,arxiv-2006.05538v1,arxiv-2006.05538v1_ai_generated_gpt-4o-2024-11-20_THEN_gpt-3.5-turbo,2,581
400–600,arxiv-2006.05538v1,arxiv-2006.05538v1_human_ai_polished_claude-3-5-sonnet-20241022,1,576
400–600,arxiv-2006.05538v1,arxiv-2006.05538v1_human_written,0,550
200–400,arxiv-2006.10168v1,arxiv-2006.10168v1_ai_generated_gpt-4o-2024-11-20,2,226
200–400,arxiv-2006.10168v1,arxiv-2006.10168v1_ai_generated_gpt-4o-2024-11-20_THEN_gpt-3.5-turbo,2,235
200–400,arxiv-2006.10168v1,arxiv-2006.10168v1_human_ai_polished_gpt-3.5-turbo,1,254
200–400,arxiv-2006.10168v1,arxiv-2006.10168v1_human_written,0,250
200–400,arxiv-2006.10632v3,arxiv-2006.10632v3_ai_generated_gpt-4o-2024-11-20,2,358
200–400,arxiv-2006.10632v3,arxiv-2006.10632v3_ai_generated_gpt-4o-2024-11-20_THEN_gpt-3.5-turbo,2,374
400–600,arxiv-2006.10632v3,arxiv-2006.10632v3_human_ai_polished_gemini-1.5-pro-002,1,505
400–600,arxiv-2006.10632v3,arxiv-2006.10632v3_human_written,0,513
600–800,arxiv-2006.11035v1,arxiv-2006.11035v1_ai_generated_gemini-1.5-pro-002,2,601
600–800,arxiv-2006.11035v1,arxiv-2006.11035v1_ai_humanized_tool,3,673
400–600,arxiv-2006.11035v1,arxiv-2006.11035v1_human_ai_polished_gemini-1.5-pro-002,1,585
400–600,arxiv-2006.11035v1,arxiv-2006.11035v1_human_written,0,567
600–800,arxiv-2006.13611v1,arxiv-2006.13611v1_ai_generated_claude-3-5-sonnet-20241022,2,722
600–800,arxiv-2006.13611v1,arxiv-2006.13611v1_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-4o-2024-11-20,2,655
800+,arxiv-2006.13611v1,arxiv-2006.13611v1_human_ai_polished_claude-3-5-sonnet-20241022,1,825
600–800,arxiv-2006.13611v1,arxiv-2006.13611v1_human_written,0,726
400–600,arxiv-2007.00216v1,arxiv-2007.00216v1_ai_generated_gemini-1.5-pro-002,2,464
400–600,arxiv-2007.00216v1,arxiv-2007.00216v1_ai_humanized_tool,3,542
400–600,arxiv-2007.00216v1,arxiv-2007.00216v1_human_ai_polished_gpt-3.5-turbo,1,497
400–600,arxiv-2007.00216v1,arxiv-2007.00216v1_human_written,0,453
200–400,arxiv-2007.00349v1,arxiv-2007.00349v1_ai_generated_gpt-4o-2024-11-20,2,309
200–400,arxiv-2007.00349v1,arxiv-2007.00349v1_ai_humanized_tool,3,367
200–400,arxiv-2007.00349v1,arxiv-2007.00349v1_human_ai_polished_gpt-4o-2024-11-20,1,239
200–400,arxiv-2007.00349v1,arxiv-2007.00349v1_human_written,0,310
800+,arxiv-2007.09555v1,arxiv-2007.09555v1_ai_generated_gpt-4o-2024-11-20,2,1063
800+,arxiv-2007.09555v1,arxiv-2007.09555v1_ai_generated_gpt-4o-2024-11-20_THEN_claude-3-5-sonnet-20241022,2,1061
800+,arxiv-2007.09555v1,arxiv-2007.09555v1_human_ai_polished_gpt-4o-2024-11-20,1,1110
800+,arxiv-2007.09555v1,arxiv-2007.09555v1_human_written,0,1048
200–400,arxiv-2007.11053v1,arxiv-2007.11053v1_ai_generated_gpt-4o-2024-11-20,2,366
200–400,arxiv-2007.11053v1,arxiv-2007.11053v1_ai_humanized_tool,3,349
200–400,arxiv-2007.11053v1,arxiv-2007.11053v1_human_ai_polished_claude-3-5-sonnet-20241022,1,364
200–400,arxiv-2007.11053v1,arxiv-2007.11053v1_human_written,0,347
400–600,arxiv-2008.02457v2,arxiv-2008.02457v2_ai_generated_claude-3-5-sonnet-20241022,2,537
400–600,arxiv-2008.02457v2,arxiv-2008.02457v2_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,547
600–800,arxiv-2008.02457v2,arxiv-2008.02457v2_human_ai_polished_claude-3-5-sonnet-20241022,1,624
400–600,arxiv-2008.02457v2,arxiv-2008.02457v2_human_written,0,508
400–600,arxiv-2008.10522v2,arxiv-2008.10522v2_ai_generated_gpt-4o-2024-11-20,2,413
400–600,arxiv-2008.10522v2,arxiv-2008.10522v2_ai_humanized_tool,3,418
400–600,arxiv-2008.10522v2,arxiv-2008.10522v2_human_ai_polished_claude-3-5-sonnet-20241022,1,486
400–600,arxiv-2008.10522v2,arxiv-2008.10522v2_human_written,0,418
400–600,arxiv-2009.10579v2,arxiv-2009.10579v2_ai_generated_gemini-1.5-pro-002,2,496
400–600,arxiv-2009.10579v2,arxiv-2009.10579v2_ai_generated_gemini-1.5-pro-002_THEN_gpt-3.5-turbo,2,550
400–600,arxiv-2009.10579v2,arxiv-2009.10579v2_human_ai_polished_gemini-1.5-pro-002,1,495
400–600,arxiv-2009.10579v2,arxiv-2009.10579v2_human_written,0,462
200–400,arxiv-2009.10749v5,arxiv-2009.10749v5_ai_generated_gpt-3.5-turbo,2,293
200–400,arxiv-2009.10749v5,arxiv-2009.10749v5_ai_generated_gpt-3.5-turbo_THEN_claude-3-5-sonnet-20241022,2,302
200–400,arxiv-2009.10749v5,arxiv-2009.10749v5_human_ai_polished_claude-3-5-sonnet-20241022,1,316
200–400,arxiv-2009.10749v5,arxiv-2009.10749v5_human_written,0,312
400–600,arxiv-2010.01498v2,arxiv-2010.01498v2_ai_generated_gemini-1.5-pro-002,2,500
400–600,arxiv-2010.01498v2,arxiv-2010.01498v2_ai_generated_gemini-1.5-pro-002_THEN_claude-3-5-sonnet-20241022,2,469
400–600,arxiv-2010.01498v2,arxiv-2010.01498v2_human_ai_polished_gpt-4o-2024-11-20,1,489
400–600,arxiv-2010.01498v2,arxiv-2010.01498v2_human_written,0,498
400–600,arxiv-2010.06367v3,arxiv-2010.06367v3_ai_generated_claude-3-5-sonnet-20241022,2,472
400–600,arxiv-2010.06367v3,arxiv-2010.06367v3_ai_generated_claude-3-5-sonnet-20241022_THEN_claude-3-5-sonnet-20241022,2,481
400–600,arxiv-2010.06367v3,arxiv-2010.06367v3_human_ai_polished_gpt-3.5-turbo,1,472
400–600,arxiv-2010.06367v3,arxiv-2010.06367v3_human_written,0,460
600–800,arxiv-2010.09576v1,arxiv-2010.09576v1_ai_generated_qwen2.5-72b-instruct,2,685
600–800,arxiv-2010.09576v1,arxiv-2010.09576v1_ai_generated_qwen2.5-72b-instruct_THEN_gpt-4o-2024-11-20,2,748
600–800,arxiv-2010.09576v1,arxiv-2010.09576v1_human_ai_polished_claude-3-5-sonnet-20241022,1,766
600–800,arxiv-2010.09576v1,arxiv-2010.09576v1_human_written,0,693
400–600,arxiv-2010.11266v1,arxiv-2010.11266v1_ai_generated_gpt-3.5-turbo,2,527
400–600,arxiv-2010.11266v1,arxiv-2010.11266v1_ai_generated_gpt-3.5-turbo_THEN_gpt-4o-2024-11-20,2,599
400–600,arxiv-2010.11266v1,arxiv-2010.11266v1_human_ai_polished_claude-3-5-sonnet-20241022,1,584
400–600,arxiv-2010.11266v1,arxiv-2010.11266v1_human_written,0,548
800+,arxiv-2010.14377v2,arxiv-2010.14377v2_ai_generated_gemini-1.5-pro-002,2,800
800+,arxiv-2010.14377v2,arxiv-2010.14377v2_ai_humanized_tool,3,873
800+,arxiv-2010.14377v2,arxiv-2010.14377v2_human_ai_polished_gemini-1.5-pro-002,1,887
800+,arxiv-2010.14377v2,arxiv-2010.14377v2_human_written,0,838
600–800,arxiv-2011.00836v2,arxiv-2011.00836v2_ai_generated_claude-3-5-sonnet-20241022,2,628
600–800,arxiv-2011.00836v2,arxiv-2011.00836v2_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,627
600–800,arxiv-2011.00836v2,arxiv-2011.00836v2_human_ai_polished_gemini-1.5-pro-002,1,666
600–800,arxiv-2011.00836v2,arxiv-2011.00836v2_human_written,0,688
400–600,arxiv-2011.02675v2,arxiv-2011.02675v2_ai_generated_gpt-4o-2024-11-20,2,561
600–800,arxiv-2011.02675v2,arxiv-2011.02675v2_ai_generated_gpt-4o-2024-11-20_THEN_claude-3-5-sonnet-20241022,2,783
200–400,arxiv-2011.02675v2,arxiv-2011.02675v2_human_ai_polished_gpt-4o-2024-11-20,1,343
800+,arxiv-2011.02675v2,arxiv-2011.02675v2_human_written,0,867
200–400,arxiv-2011.08101v2,arxiv-2011.08101v2_ai_generated_claude-3-5-sonnet-20241022,2,328
200–400,arxiv-2011.08101v2,arxiv-2011.08101v2_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-4o-2024-11-20,2,323
200–400,arxiv-2011.08101v2,arxiv-2011.08101v2_human_ai_polished_claude-3-5-sonnet-20241022,1,318
200–400,arxiv-2011.08101v2,arxiv-2011.08101v2_human_written,0,289
400–600,arxiv-2012.09889v1,arxiv-2012.09889v1_ai_generated_claude-3-5-sonnet-20241022,2,456
400–600,arxiv-2012.09889v1,arxiv-2012.09889v1_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-4o-2024-11-20,2,477
400–600,arxiv-2012.09889v1,arxiv-2012.09889v1_human_ai_polished_gpt-3.5-turbo,1,478
400–600,arxiv-2012.09889v1,arxiv-2012.09889v1_human_written,0,482
400–600,arxiv-2101.00773v1,arxiv-2101.00773v1_ai_generated_qwen2.5-72b-instruct,2,563
400–600,arxiv-2101.00773v1,arxiv-2101.00773v1_ai_generated_qwen2.5-72b-instruct_THEN_gpt-3.5-turbo,2,571
400–600,arxiv-2101.00773v1,arxiv-2101.00773v1_human_ai_polished_claude-3-5-sonnet-20241022,1,549
400–600,arxiv-2101.00773v1,arxiv-2101.00773v1_human_written,0,553
600–800,arxiv-2101.12045v1,arxiv-2101.12045v1_ai_generated_qwen2.5-72b-instruct,2,632
600–800,arxiv-2101.12045v1,arxiv-2101.12045v1_ai_generated_qwen2.5-72b-instruct_THEN_gpt-4o-2024-11-20,2,690
600–800,arxiv-2101.12045v1,arxiv-2101.12045v1_human_ai_polished_gemini-1.5-pro-002,1,667
600–800,arxiv-2101.12045v1,arxiv-2101.12045v1_human_written,0,635
600–800,arxiv-2102.03013v1,arxiv-2102.03013v1_ai_generated_gemini-1.5-pro-002,2,678
200–400,arxiv-2102.03013v1,arxiv-2102.03013v1_ai_humanized_human,3,235
600–800,arxiv-2102.03013v1,arxiv-2102.03013v1_human_ai_polished_claude-3-5-sonnet-20241022,1,727
600–800,arxiv-2102.03013v1,arxiv-2102.03013v1_human_written,0,636
400–600,arxiv-2102.03762v1,arxiv-2102.03762v1_ai_generated_gpt-3.5-turbo,2,481
400–600,arxiv-2102.03762v1,arxiv-2102.03762v1_ai_generated_gpt-3.5-turbo_THEN_gpt-3.5-turbo,2,473
400–600,arxiv-2102.03762v1,arxiv-2102.03762v1_human_ai_polished_claude-3-5-sonnet-20241022,1,476
400–600,arxiv-2102.03762v1,arxiv-2102.03762v1_human_written,0,407
400–600,arxiv-2102.05738v2,arxiv-2102.05738v2_ai_generated_claude-3-5-sonnet-20241022,2,484
400–600,arxiv-2102.05738v2,arxiv-2102.05738v2_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,510
400–600,arxiv-2102.05738v2,arxiv-2102.05738v2_human_ai_polished_gpt-3.5-turbo,1,503
400–600,arxiv-2102.05738v2,arxiv-2102.05738v2_human_written,0,472
200–400,arxiv-2102.09299v2,arxiv-2102.09299v2_ai_generated_llama-3.3-70b-instruct,2,218
200–400,arxiv-2102.09299v2,arxiv-2102.09299v2_ai_generated_llama-3.3-70b-instruct_THEN_gpt-3.5-turbo,2,220
0–200,arxiv-2102.09299v2,arxiv-2102.09299v2_human_ai_polished_gpt-4o-2024-11-20,1,198
200–400,arxiv-2102.09299v2,arxiv-2102.09299v2_human_written,0,218
400–600,arxiv-2102.09667v2,arxiv-2102.09667v2_ai_generated_claude-3-5-sonnet-20241022,2,595
400–600,arxiv-2102.09667v2,arxiv-2102.09667v2_ai_generated_claude-3-5-sonnet-20241022_THEN_claude-3-5-sonnet-20241022,2,585
400–600,arxiv-2102.09667v2,arxiv-2102.09667v2_human_ai_polished_gpt-3.5-turbo,1,566
400–600,arxiv-2102.09667v2,arxiv-2102.09667v2_human_written,0,567
200–400,arxiv-2102.10476v3,arxiv-2102.10476v3_ai_generated_qwen2.5-72b-instruct,2,372
200–400,arxiv-2102.10476v3,arxiv-2102.10476v3_ai_generated_qwen2.5-72b-instruct_THEN_gpt-4o-2024-11-20,2,320
200–400,arxiv-2102.10476v3,arxiv-2102.10476v3_human_ai_polished_gpt-3.5-turbo,1,290
200–400,arxiv-2102.10476v3,arxiv-2102.10476v3_human_written,0,398
600–800,arxiv-2102.13011v2,arxiv-2102.13011v2_ai_generated_gpt-4o-2024-11-20,2,606
400–600,arxiv-2102.13011v2,arxiv-2102.13011v2_ai_generated_gpt-4o-2024-11-20_THEN_claude-3-5-sonnet-20241022,2,585
600–800,arxiv-2102.13011v2,arxiv-2102.13011v2_human_ai_polished_claude-3-5-sonnet-20241022,1,676
400–600,arxiv-2102.13011v2,arxiv-2102.13011v2_human_written,0,596
0–200,arxiv-2103.02017v1,arxiv-2103.02017v1_ai_generated_qwen2.5-72b-instruct,2,122
0–200,arxiv-2103.02017v1,arxiv-2103.02017v1_ai_generated_qwen2.5-72b-instruct_THEN_gpt-4o-2024-11-20,2,122
0–200,arxiv-2103.02017v1,arxiv-2103.02017v1_human_ai_polished_gpt-3.5-turbo,1,113
0–200,arxiv-2103.02017v1,arxiv-2103.02017v1_human_written,0,61
400–600,arxiv-2103.03400v1,arxiv-2103.03400v1_ai_generated_qwen2.5-72b-instruct,2,577
400–600,arxiv-2103.03400v1,arxiv-2103.03400v1_ai_generated_qwen2.5-72b-instruct_THEN_gpt-4o-2024-11-20,2,591
400–600,arxiv-2103.03400v1,arxiv-2103.03400v1_human_ai_polished_gpt-3.5-turbo,1,585
400–600,arxiv-2103.03400v1,arxiv-2103.03400v1_human_written,0,573
800+,arxiv-2103.05127v2,arxiv-2103.05127v2_ai_generated_claude-3-5-sonnet-20241022,2,894
800+,arxiv-2103.05127v2,arxiv-2103.05127v2_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-3.5-turbo,2,996
800+,arxiv-2103.05127v2,arxiv-2103.05127v2_human_ai_polished_gemini-1.5-pro-002,1,907
800+,arxiv-2103.05127v2,arxiv-2103.05127v2_human_written,0,825
200–400,arxiv-2103.11233v4,arxiv-2103.11233v4_ai_generated_gpt-3.5-turbo,2,357
200–400,arxiv-2103.11233v4,arxiv-2103.11233v4_ai_generated_gpt-3.5-turbo_THEN_claude-3-5-sonnet-20241022,2,373
200–400,arxiv-2103.11233v4,arxiv-2103.11233v4_human_ai_polished_claude-3-5-sonnet-20241022,1,254
200–400,arxiv-2103.11233v4,arxiv-2103.11233v4_human_written,0,356
400–600,arxiv-2103.13482v2,arxiv-2103.13482v2_ai_generated_claude-3-5-sonnet-20241022,2,430
400–600,arxiv-2103.13482v2,arxiv-2103.13482v2_ai_humanized_tool,3,467
200–400,arxiv-2103.13482v2,arxiv-2103.13482v2_human_ai_polished_gpt-3.5-turbo,1,339
400–600,arxiv-2103.13482v2,arxiv-2103.13482v2_human_written,0,461
400–600,arxiv-2104.00924v1,arxiv-2104.00924v1_ai_generated_qwen2.5-72b-instruct,2,589
400–600,arxiv-2104.00924v1,arxiv-2104.00924v1_ai_humanized_human,3,598
600–800,arxiv-2104.00924v1,arxiv-2104.00924v1_human_ai_polished_gpt-4o-2024-11-20,1,614
600–800,arxiv-2104.00924v1,arxiv-2104.00924v1_human_written,0,619
600–800,arxiv-2104.14291v1,arxiv-2104.14291v1_ai_generated_gpt-4o-2024-11-20,2,789
600–800,arxiv-2104.14291v1,arxiv-2104.14291v1_ai_generated_gpt-4o-2024-11-20_THEN_claude-3-5-sonnet-20241022,2,660
600–800,arxiv-2104.14291v1,arxiv-2104.14291v1_human_ai_polished_claude-3-5-sonnet-20241022,1,620
600–800,arxiv-2104.14291v1,arxiv-2104.14291v1_human_written,0,602
400–600,arxiv-2105.00781v1,arxiv-2105.00781v1_ai_generated_gpt-4o-2024-11-20,2,520
400–600,arxiv-2105.00781v1,arxiv-2105.00781v1_ai_humanized_tool,3,508
200–400,arxiv-2105.00781v1,arxiv-2105.00781v1_human_ai_polished_gpt-4o-2024-11-20,1,341
400–600,arxiv-2105.00781v1,arxiv-2105.00781v1_human_written,0,564
400–600,arxiv-2105.01046v1,arxiv-2105.01046v1_ai_generated_gpt-4o-2024-11-20,2,535
200–400,arxiv-2105.01046v1,arxiv-2105.01046v1_ai_humanized_human,3,342
400–600,arxiv-2105.01046v1,arxiv-2105.01046v1_human_ai_polished_claude-3-5-sonnet-20241022,1,551
400–600,arxiv-2105.01046v1,arxiv-2105.01046v1_human_written,0,562
800+,arxiv-2105.02095v5,arxiv-2105.02095v5_ai_generated_gpt-3.5-turbo,2,816
800+,arxiv-2105.02095v5,arxiv-2105.02095v5_ai_generated_gpt-3.5-turbo_THEN_gemini-1.5-pro-002,2,851
800+,arxiv-2105.02095v5,arxiv-2105.02095v5_human_ai_polished_gpt-4o-2024-11-20,1,806
800+,arxiv-2105.02095v5,arxiv-2105.02095v5_human_written,0,819
400–600,arxiv-2105.02291v2,arxiv-2105.02291v2_ai_generated_qwen2.5-72b-instruct,2,599
600–800,arxiv-2105.02291v2,arxiv-2105.02291v2_ai_generated_qwen2.5-72b-instruct_THEN_claude-3-5-sonnet-20241022,2,630
600–800,arxiv-2105.02291v2,arxiv-2105.02291v2_human_ai_polished_gemini-1.5-pro-002,1,641
600–800,arxiv-2105.02291v2,arxiv-2105.02291v2_human_written,0,630
400–600,arxiv-2105.03625v2,arxiv-2105.03625v2_ai_generated_gemini-1.5-pro-002,2,585
200–400,arxiv-2105.03625v2,arxiv-2105.03625v2_ai_humanized_tool,3,331
600–800,arxiv-2105.03625v2,arxiv-2105.03625v2_human_ai_polished_claude-3-5-sonnet-20241022,1,614
400–600,arxiv-2105.03625v2,arxiv-2105.03625v2_human_written,0,558
600–800,arxiv-2105.12062v2,arxiv-2105.12062v2_ai_generated_claude-3-5-sonnet-20241022,2,609
600–800,arxiv-2105.12062v2,arxiv-2105.12062v2_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,654
600–800,arxiv-2105.12062v2,arxiv-2105.12062v2_human_ai_polished_claude-3-5-sonnet-20241022,1,750
600–800,arxiv-2105.12062v2,arxiv-2105.12062v2_human_written,0,659
400–600,arxiv-2106.02624v2,arxiv-2106.02624v2_ai_generated_gpt-4o-2024-11-20,2,444
400–600,arxiv-2106.02624v2,arxiv-2106.02624v2_ai_generated_gpt-4o-2024-11-20_THEN_gemini-1.5-pro-002,2,434
400–600,arxiv-2106.02624v2,arxiv-2106.02624v2_human_ai_polished_gpt-3.5-turbo,1,428
200–400,arxiv-2106.02624v2,arxiv-2106.02624v2_human_written,0,387
800+,arxiv-2106.11182v1,arxiv-2106.11182v1_ai_generated_gemini-1.5-pro-002,2,954
800+,arxiv-2106.11182v1,arxiv-2106.11182v1_ai_generated_gemini-1.5-pro-002_THEN_gpt-4o-2024-11-20,2,1165
800+,arxiv-2106.11182v1,arxiv-2106.11182v1_human_ai_polished_gpt-4o-2024-11-20,1,871
600–800,arxiv-2106.11182v1,arxiv-2106.11182v1_human_written,0,761
800+,arxiv-2106.12449v2,arxiv-2106.12449v2_ai_generated_qwen2.5-72b-instruct,2,830
800+,arxiv-2106.12449v2,arxiv-2106.12449v2_ai_generated_qwen2.5-72b-instruct_THEN_gemini-1.5-pro-002,2,870
800+,arxiv-2106.12449v2,arxiv-2106.12449v2_human_ai_polished_gpt-4o-2024-11-20,1,895
800+,arxiv-2106.12449v2,arxiv-2106.12449v2_human_written,0,872
600–800,arxiv-2108.05028v2,arxiv-2108.05028v2_ai_generated_gpt-4o-2024-11-20,2,779
600–800,arxiv-2108.05028v2,arxiv-2108.05028v2_ai_generated_gpt-4o-2024-11-20_THEN_gpt-3.5-turbo,2,712
800+,arxiv-2108.05028v2,arxiv-2108.05028v2_human_ai_polished_gemini-1.5-pro-002,1,807
600–800,arxiv-2108.05028v2,arxiv-2108.05028v2_human_written,0,740
800+,arxiv-2108.05348v1,arxiv-2108.05348v1_ai_generated_gemini-1.5-pro-002,2,925
